date_received,first_initial,last_initial,zip_suffix,postmark_date,no_postmark_month_only,no_postmark_signed_date,post_type,forwarded_from_huntington_sci,notes
2/7/2025,NULL,W,49,1/30/2025,FALSE,,LETTER,,
2/7/2025,D,G,ITALY,1/7/2025,FALSE,,LETTER,,
2/7/2025,J,L,05,1/29/2025,FALSE,,LETTER,,
2/7/2025,M,G,FINLAND,12/28/2024,FALSE,,LETTER,,
2/7/2025,N,NULL,58,1/29/2025,FALSE,,LETTER,,
2/7/2025,E,N,28,1/30/2025,FALSE,,LETTER,,
2/7/2025,K,NULL,50,NULL,FALSE,,LETTER,,
2/7/2025,M,H,15,1/27/2025,FALSE,,LETTER,,
2/7/2025,T,B,68,1/26/2025,FALSE,,LETTER,,
2/7/2025,G,G,19,1/27/2025,FALSE,,LETTER,,
2/7/2025,L,D,50,1/29/2025,FALSE,,LETTER,,
2/7/2025,M,M,12,1/29/2025,FALSE,,LETTER,,
2/7/2025,V,M,07,1/29/2025,FALSE,,LETTER,,
2/10/2025,B,C,31,1/2/2025,FALSE,,LETTER,,
2/10/2025,R,R,28,12/31/2024,FALSE,,LETTER,,
2/10/2025,J,M,33,1/25/2025,FALSE,,LETTER,,
2/10/2025,T,O,CANADA,12/24/2024,FALSE,,LETTER,,
2/10/2025,J,P,05,1/2/2025,FALSE,,LETTER,,
2/10/2025,V,M,05,12/30/2024,FALSE,,LETTER,,
2/10/2025,K,K,22,2/3/2025,FALSE,,LETTER,,
2/10/2025,NULL,NULL,16,12/31/2024,FALSE,,LETTER,,
2/11/2025,A,K,38,12/30/2024,FALSE,,LETTER,,
2/11/2025,H,P,08,12/31/2024,FALSE,,LETTER,,
2/11/2025,M,F,78,12/27/2024,FALSE,,LETTER,,
2/11/2025,A,L,80,12/31/2024,FALSE,,LETTER,,
2/11/2025,I,W,03,1/2/2025,FALSE,,LETTER,,
2/11/2025,P,E,98,12/31/2024,FALSE,,LETTER,,
2/11/2025,B,B,03,1/2/2025,FALSE,,LETTER,,
2/11/2025,J,T,84,12/30/2024,FALSE,,LETTER,,
2/11/2025,V,G,INDIA,12/31/2024,FALSE,,LETTER,,
2/11/2025,E,A,61,NULL,FALSE,,LETTER,,
2/11/2025,K,B,01,2/10/2025,FALSE,,LETTER,,
2/12/2025,A,R,06,12/31/2024,FALSE,,LETTER,,
2/12/2025,C,S,10,1/2/2025,FALSE,,LETTER,,
2/12/2025,T,C,06,12/30/2024,FALSE,,LETTER,,
2/12/2025,B,J,15,12/25/2024,FALSE,,LETTER,,
2/12/2025,I,A,04,1/4/2025,FALSE,,LETTER,,
2/12/2025,T,C,06,12/30/2024,FALSE,,LETTER,,
2/12/2025,C,R,85,12/31/2024,FALSE,,LETTER,,
2/12/2025,M,S,08,12/31/2024,FALSE,,LETTER,,
2/12/2025,C,R,85,12/31/2024,FALSE,,LETTER,,
2/12/2025,S,S,36,12/30/2024,FALSE,,LETTER,,
2/13/2025,A,T,49,12/30/2024,FALSE,,LETTER,,
2/13/2025,E,C,70,12/30/2024,FALSE,,LETTER,,
2/13/2025,K,G,UK,12/23/2024,FALSE,,LETTER,,
2/13/2025,N,G,12,2/5/2025,FALSE,,LETTER,,
2/13/2025,B,B,63,12/30/2024,FALSE,,LETTER,,
2/13/2025,I,G,NEW ZEALAND,1/6/2025,FALSE,,LETTER,,
2/13/2025,L,B,82,12/30/2024,FALSE,,LETTER,,
2/13/2025,N,M,20,12/31/2024,FALSE,,LETTER,,
2/13/2025,B,K,16,12/31/2024,FALSE,,LETTER,,
2/13/2025,M,U,87,12/31/2024,FALSE,,LETTER,,
2/13/2025,R,H,74,1/2/2025,FALSE,,LETTER,,
2/13/2025,C,S,14,2/7/2025,FALSE,,LETTER,,
2/13/2025,J,M,UK,NULL,FALSE,,LETTER,,
2/13/2025,N,A,12,12/30/2024,FALSE,,LETTER,,
2/13/2025,S,H,38,12/30/2024,FALSE,,LETTER,,
2/14/2025,A,O,13,12/31/2024,FALSE,,LETTER,,
2/14/2025,C,T,06,NULL,FALSE,,LETTER,,
2/14/2025,K,E,64,2/10/2025,FALSE,,LETTER,,
2/14/2025,R,R,97,12/31/2024,FALSE,,LETTER,,
2/14/2025,C,B,18,12/30/2024,FALSE,,LETTER,,
2/14/2025,D,C,47,1/2/2025,FALSE,,LETTER,,
2/14/2025,K,P,12,12/30/2024,FALSE,,LETTER,,
2/14/2025,S,B,33,2/14/2025,FALSE,,LETTER,,
2/14/2025,C,B,18,1/2/2025,FALSE,,LETTER,,
2/14/2025,E,K,IRELAND,NULL,FALSE,,LETTER,,
2/14/2025,N,L,30,1/2/2025,FALSE,,LETTER,,
2/14/2025,C,B,19,1/2/2025,FALSE,,LETTER,,
2/14/2025,J,R,19,12/31/2024,FALSE,,LETTER,,
2/14/2025,R,D,01,NULL,FALSE,,LETTER,,
2/19/2025,A,B,ENGLAND,12/27/2024,FALSE,,LETTER,,
2/19/2025,A,R,06,12/30/2024,FALSE,,LETTER,,
2/19/2025,E,D,34,12/30/2024,FALSE,,LETTER,,
2/19/2025,H,B,24,12/30/2024,FALSE,,LETTER,,
2/19/2025,K,L,51,12/31/2024,FALSE,,LETTER,,
2/19/2025,M,S,14,NULL,FALSE,,LETTER,,
2/19/2025,S,W,73,2/15/2025,FALSE,,LETTER,,
2/19/2025,A,C,38,2/10/2025,FALSE,,LETTER,,
2/19/2025,C,M,06,12/30/2024,FALSE,,LETTER,,
2/19/2025,E,M,01,1/2/2025,FALSE,,LETTER,,
2/19/2025,J,G,23,1/3/2025,FALSE,,LETTER,,
2/19/2025,L,A,04,1/2/2025,FALSE,,LETTER,,
2/19/2025,N,E,26,1/1/2025,FALSE,,LETTER,,
2/19/2025,T,S,39,12/31/2024,FALSE,,LETTER,,
2/19/2025,A,D,77,12/26/2024,FALSE,,LETTER,,
2/19/2025,D,R,16,12/31/2024,FALSE,,LETTER,,
2/19/2025,F,S,07,1/2/2025,FALSE,,LETTER,,
2/19/2025,J,N ,35,12/30/2024,FALSE,,LETTER,,
